date,ticker,open,high,low,close,volume
3/27/2022,FPT,33.42,33.65,33.42,33.57,589040
3/28/2022,FPT,33.39,33.84,33.39,33.69,362360
3/29/2022,FPT,34.02,34.02,33.8,33.95,446750
4/1/2022,FPT,34.25,34.25,33.95,34.17,327500
4/2/2022,FPT,34.17,34.84,34.17,34.32,1354480
4/3/2022,FPT,34.62,35.22,34.32,35.22,1034100
4/4/2022,FPT,35.44,35.96,35.25,35.66,1716130
4/5/2022,FPT,35.66,35.74,35.4,35.66,615200
4/8/2022,FPT,35.55,35.81,35.4,35.66,452660
4/9/2022,FPT,35.66,36.19,35.29,35.29,1011680
4/10/2022,FPT,35.07,35.29,34.88,34.99,731100
4/11/2022,FPT,34.99,35.44,34.95,35.07,359910
4/12/2022,FPT,34.95,36.11,34.95,35.96,875090
4/16/2022,FPT,35.44,35.96,35.44,35.74,907000
4/17/2022,FPT,36.04,36.93,35.96,36.19,1959530
4/18/2022,FPT,36.19,36.75,35.85,36.19,975930
4/19/2022,FPT,36.33,36.48,36.11,36.15,453980
4/22/2022,FPT,36.19,36.19,35.66,35.74,826090
4/23/2022,FPT,35.74,36.15,35.44,35.74,549400
4/24/2022,FPT,36.19,36.3,35.89,36.22,855130
4/25/2022,FPT,36.19,36.67,36.15,36.41,970660
4/26/2022,FPT,36.48,37.12,36.41,36.97,864950
5/2/2022,FPT,37.16,37.45,37.04,37.19,885020
5/3/2022,FPT,37.23,37.3,37.01,37.3,1059570
5/6/2022,FPT,36.56,36.86,36.15,36.37,1455140
5/7/2022,FPT,36.63,37.08,36.6,37.08,1094880
5/8/2022,FPT,36.78,37.08,36.56,37.04,959020
5/9/2022,FPT,37.01,37.04,36.26,36.26,860940
5/10/2022,FPT,36.56,36.75,36.37,36.56,1027830
5/13/2022,FPT,36.56,37.16,36.56,36.93,850540
5/14/2022,FPT,36.89,37.9,36.63,37.45,1560830
5/15/2022,FPT,37.68,37.75,37.38,37.6,1539940
5/16/2022,FPT,37.6,37.83,37.04,37.04,1891290
5/17/2022,FPT,37.69,37.69,37.1,37.23,1487590
5/20/2022,FPT,37.27,37.94,37.27,37.9,1792130
5/21/2022,FPT,38.11,38.57,37.98,38.44,1016530
5/22/2022,FPT,38.44,38.65,37.9,37.9,1563650
5/23/2022,FPT,37.9,38.36,37.86,38.28,1267520
5/24/2022,FPT,38.11,38.49,37.9,38.19,1014750
5/27/2022,FPT,37.94,38.02,37.4,37.9,1261950
5/28/2022,FPT,37.69,38.02,37.48,37.56,518470
5/29/2022,FPT,37.56,37.56,36.85,36.94,1505300
